geography,scenario,sector
G1200670,mid,com
G1300070,mid,com
G1300370,mid,com
G1301010,mid,com
G1302590,mid,com
G1303070,mid,com
G1600250,mid,com
G1701510,mid,com
G1900090,mid,com
G1901350,mid,com
G2000750,mid,com
G2000810,mid,com
G2000830,mid,com
G2000930,mid,com
G2001370,mid,com
G2001990,mid,com
G2002030,mid,com
G2101050,mid,com
G2101890,mid,com
G2200910,mid,com
G2700810,mid,com
G2800530,mid,com
G2800550,mid,com
G2900450,mid,com
G2902110,mid,com
G3000330,mid,com
G3000370,mid,com
G3000690,mid,com
G3100050,mid,com
G3100070,mid,com
G3100090,mid,com
G3100510,mid,com
G3100570,mid,com
G3100730,mid,com
G3100870,mid,com
G3101030,mid,com
G3101130,mid,com
G3101150,mid,com
G3101170,mid,com
G3101490,mid,com
G3101830,mid,com
G3200170,mid,com
G3500210,mid,com
G3800230,mid,com
G3800390,mid,com
G3800410,mid,com
G3800470,mid,com
G3800870,mid,com
G3800950,mid,com
G4000570,mid,com
G4001290,mid,com
G4600170,mid,com
G4600210,mid,com
G4600510,mid,com
G4600630,mid,com
G4600690,mid,com
G4600710,mid,com
G4600750,mid,com
G4600950,mid,com
G4601020,mid,com
G4601110,mid,com
G4601370,mid,com
G4800330,mid,com
G4800450,mid,com
G4800870,mid,com
G4801730,mid,com
G4801750,mid,com
G4802350,mid,com
G4802610,mid,com
G4802630,mid,com
G4802670,mid,com
G4802710,mid,com
G4802950,mid,com
G4803110,mid,com
G4803450,mid,com
G4803510,mid,com
G4803770,mid,com
G4803930,mid,com
G4804130,mid,com
G4804170,mid,com
G4804470,mid,com
G4804950,mid,com
G4900290,mid,com
G5105950,mid,com
G5400210,mid,com
G5500780,mid,com
