from_id,from_id,to_id,from_fraction
AZ,Arizona,p27,0.040684637
AZ,Arizona,p28,0.907309861
AZ,Arizona,p29,0.011314445
AZ,Arizona,p30,0.040691057
CA,California,p8,0.003279295
CA,California,p9,0.32508857
CA,California,p10,0.591862441
CA,California,p11,0.079769693
CO,Colorado,p33,0.730905452
CO,Colorado,p34,0.269094548
FL,Florida,p91,0.036259568
FL,Florida,p101,0.623200234
FL,Florida,p102,0.340540198
GA,Georgia,p94,1
MN,Minnesota,p42,0.056572145
MN,Minnesota,p43,0.851392344
MN,Minnesota,p44,0.027118921
MN,Minnesota,p68,0.06491659
MT,Montana,p17,0.332190439
MT,Montana,p18,0.253265026
MT,Montana,p19,0.005898659
MT,Montana,p20,0.255855013
MT,Montana,p35,0.152790863
NM,New Mexico,p31,0.572324497
NM,New Mexico,p47,0.427675503
NY,New York,p127,0.851797622
NY,New York,p128,0.148202378
TX,Texas,p48,0.049317758
TX,Texas,p57,0.019566347
TX,Texas,p59,0.018530193
TX,Texas,p60,0.016912144
TX,Texas,p61,0.020512567
TX,Texas,p62,0.02989182
TX,Texas,p63,0.353148599
TX,Texas,p64,0.095023621
TX,Texas,p65,0.132676912
TX,Texas,p66,0.07790913
TX,Texas,p67,0.186510909
WA,Washington,p1,0.511519869
WA,Washington,p2,0.263245532
WA,Washington,p3,0.134422022
WA,Washington,p4,0.090812578
