id,electricity_end_uses
electricity_computers_and_electronics,x
electricity_cooking,x
electricity_heating,x
electricity_cooling,x
electricity_ventilation,x
electricity_lighting,x
electricity_other,x
electricity_refrigeration,x
electricity_water_heating,x
electricity_ev_ldv_enroute_dcfc,x
electricity_ev_ldv_home_l1,x
electricity_ev_ldv_home_l2,x
electricity_ev_ldv_public_dcfc,x
electricity_ev_ldv_public_l2,x
electricity_ev_ldv_work_l2,x
electricity_ev_mhdv_depot_dcfc,x
electricity_ev_mhdv_depot_l2,x
electricity_ev_mhdv_enroute_dcfc,x
electricity_ev_mhdv_opportunity_dcfc,x
electricity_ev_mhdv_opportunity_l2,x
electricity_conventional_boiler,x
electricity_process_heating,x
electricity_process_cooling_and_refrigeration,x
electricity_machine_drive,x
electricity_electrochemical_processes,x
electricity_other_process,x
electricity_facility_hvac,x
electricity_facility_lighting,x
electricity_other_facility_support,x
electricity_other_nonprocess,x
electricity_chp,x
electricity_thermal_dg,x
electricity_dpv,x
electricity_unspecified,x
