id,name,is_conus,census_division,census_region
AL,Alabama,TRUE,east_south_central,south
AR,Arkansas,TRUE,west_south_central,south
AZ,Arizona,TRUE,mountain,west
CA,California,TRUE,pacific,west
CO,Colorado,TRUE,mountain,west
CT,Connecticut,TRUE,new_england,northeast
DC,District of Columbia,TRUE,south_atlantic,south
DE,Delaware,TRUE,south_atlantic,south
FL,Florida,TRUE,south_atlantic,south
GA,Georgia,TRUE,south_atlantic,south
IA,Iowa,TRUE,west_north_central,midwest
ID,Idaho,TRUE,mountain,west
IL,Illinois,TRUE,east_north_central,midwest
IN,Indiana,TRUE,east_north_central,midwest
KS,Kansas,TRUE,west_north_central,midwest
KY,Kentucky,TRUE,east_south_central,south
LA,Louisiana,TRUE,west_south_central,south
MA,Massachusetts,TRUE,new_england,northeast
MD,Maryland,TRUE,south_atlantic,south
ME,Maine,TRUE,new_england,northeast
MI,Michigan,TRUE,east_north_central,midwest
MN,Minnesota,TRUE,west_north_central,midwest
MO,Missouri,TRUE,west_north_central,midwest
MS,Mississippi,TRUE,east_south_central,south
MT,Montana,TRUE,mountain,west
NC,North Carolina,TRUE,south_atlantic,south
ND,North Dakota,TRUE,west_north_central,midwest
NE,Nebraska,TRUE,west_north_central,midwest
NH,New Hampshire,TRUE,new_england,northeast
NJ,New Jersey,TRUE,mid_atlantic,northeast
NM,New Mexico,TRUE,mountain,west
NV,Nevada,TRUE,mountain,west
NY,New York,TRUE,mid_atlantic,northeast
OH,Ohio,TRUE,east_north_central,midwest
OK,Oklahoma,TRUE,west_south_central,south
OR,Oregon,TRUE,pacific,west
PA,Pennsylvania,TRUE,mid_atlantic,northeast
RI,Rhode Island,TRUE,new_england,northeast
SC,South Carolina,TRUE,south_atlantic,south
SD,South Dakota,TRUE,west_north_central,midwest
TN,Tennessee,TRUE,east_south_central,south
TX,Texas,TRUE,west_south_central,south
UT,Utah,TRUE,mountain,west
VA,Virginia,TRUE,south_atlantic,south
VT,Vermont,TRUE,new_england,northeast
WA,Washington,TRUE,pacific,west
WI,Wisconsin,TRUE,east_north_central,midwest
WV,West Virginia,TRUE,south_atlantic,south
WY,Wyoming,TRUE,mountain,west
AK,Alaska,FALSE,pacific,west
HI,Hawaii,FALSE,pacific,west
